City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,Obo,CF,77.11,overcast clouds,5.3998,26.4869,
484,Sibolga,ID,77.52,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
487,Port-Gentil,GA,86.0,light rain,-0.7193,8.7815,Fengshui Residence
491,Beroroha,MG,80.96,broken clouds,-21.6667,45.1667,
495,Rio Grande,BR,77.0,moderate rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
497,Ca Mau,VN,81.0,clear sky,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
499,Sola,VU,78.89,overcast clouds,-13.8833,167.55,Leumerus Bungalows
503,Tadpatri,IN,85.05,clear sky,14.9167,78.0167,VASAVI TIFFIN CENTRE
511,Geraldton,AU,77.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
514,Cabo Rojo,PR,82.99,broken clouds,18.0866,-67.1457,Hotel Perichi's
523,Gizo,SB,78.84,light rain,-8.103,156.8419,Imagination Island
529,Gurupa,BR,86.38,broken clouds,-1.405,-51.64,Residencial DWD
530,Presidente Medici,BR,79.63,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
531,Iranshahr,IR,86.0,clear sky,27.2025,60.6848,پلکه بزرگ
533,Abu Dhabi,AE,86.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
534,Tomatlan,MX,87.69,clear sky,19.9333,-105.25,Norma franco
537,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
539,Jacksonville,US,84.2,clear sky,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
541,Mankapur,IN,83.5,clear sky,27.0333,82.2333,Shanti palace staying restrorent
548,Kokopo,PG,76.32,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
550,Negara,ID,77.04,few clouds,-8.3151,114.6025,Villa Maya West Bali
553,Caravelas,BR,82.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
554,Taquarituba,BR,83.46,scattered clouds,-23.5331,-49.2444,Lady Laura Hotel
557,Kudat,MY,80.6,few clouds,6.8837,116.8477,Dream Garden Hotel
559,Mangrol,IN,80.24,clear sky,21.1167,70.1167,Hotel The Royal Honours
561,Eyl,SO,80.42,clear sky,7.9803,49.8164,Amiin Hotel
568,Abu Zabad,SD,88.92,overcast clouds,12.35,29.25,حامد محمد نور
569,Ouegoa,NC,76.23,overcast clouds,-20.35,164.4333,
572,Champerico,GT,87.8,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
574,Alugan,PH,78.85,overcast clouds,12.2188,125.4808,JM Lodge
579,Boyolangu,ID,76.06,broken clouds,-8.1181,111.8935,Yos ega cv
589,Palmas,BR,86.0,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
593,Garwa,IN,85.17,clear sky,24.1833,83.8167,A.PS.D Utsav Garden
596,Pitimbu,BR,78.8,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
599,Bikaner,IN,82.69,clear sky,28.0167,73.3,Karina Guest House
600,Varzea Da Palma,BR,86.79,clear sky,-17.5981,-44.7308,Casa Fernandes
601,Manadhoo,MV,83.62,scattered clouds,5.7667,73.3833,Vevu Guesthouse
602,Kimbe,PG,75.29,light rain,-5.5502,150.1429,Kimbe Bay Hotel
608,Tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
609,Buala,SB,78.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
610,Mana,GF,83.1,scattered clouds,5.6592,-53.7767,LE SAMANA
614,Touros,BR,86.0,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
629,Tibacuy,CO,80.26,overcast clouds,4.3511,-72.4564,hospedaje las palmas
632,Kuching,MY,78.8,moderate rain,1.55,110.3333,The Ranee Boutique Suites
633,Praya,CV,78.8,few clouds,14.9215,-23.5087,LT Aparthotel
640,Matanza,CO,80.6,scattered clouds,7.3223,-73.0152,Hotel Cacique Matanzu
641,Antalaha,MG,75.9,light rain,-14.9003,50.2788,Hotel Vitasoa
645,Sao Paulo De Olivenca,BR,86.16,overcast clouds,-3.3783,-68.8725,
647,Minab,IR,77.0,clear sky,27.1467,57.0801,Bam campground
652,Banda Aceh,ID,80.15,scattered clouds,5.5577,95.3222,Sulthan Hotel International
653,Nha Trang,VN,77.0,scattered clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
657,Mayumba,GA,78.06,overcast clouds,-3.432,10.6554,LIKWALE LODGE
