City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Machali,CL,2021-04-07 23:59:44,-34.1833,-70.6667,64.67,57,35,0.85
118,Vardo,NO,2021-04-07 23:59:44,70.3705,31.1107,21.2,86,0,5.75
119,Chara,RU,2021-04-07 23:59:45,56.9064,118.2631,28.71,89,98,1.9
120,Mokshan,RU,2021-04-07 23:59:45,53.4365,44.6132,44.01,91,93,19.15
121,Kruisfontein,ZA,2021-04-07 23:58:48,-34.0033,24.7314,62.01,90,84,3.53
122,Hede,CN,2021-04-07 23:59:45,33.7681,120.2517,54.12,49,77,2.39
123,Trelew,AR,2021-04-07 23:57:13,-43.249,-65.3051,68.45,33,1,7.09
124,Sitka,US,2021-04-07 23:59:46,57.0531,-135.33,39.2,60,40,11.5
125,Hermanus,ZA,2021-04-07 23:59:46,-34.4187,19.2345,61.0,90,26,1.99
126,Washington,US,2021-04-07 23:54:54,47.5001,-120.5015,57.0,33,87,7.0
127,Nikolskoye,RU,2021-04-07 23:59:47,59.7035,30.7861,30.99,93,0,2.24
128,Kapaa,US,2021-04-07 23:59:47,22.0752,-159.319,77.0,65,75,21.85
129,Podgornoye,RU,2021-04-07 23:59:47,51.735,39.1496,42.8,93,59,8.95
130,Hervey Bay,AU,2021-04-07 23:59:48,-25.2986,152.8535,78.01,70,0,7.0
131,Teahupoo,PF,2021-04-07 23:59:48,-17.8333,-149.2667,86.0,58,20,12.66
132,Bruiu,RO,2021-04-07 23:59:48,45.8747,24.7009,28.4,80,0,4.03
133,Bulri,PK,2021-04-07 23:59:49,24.8667,68.3333,80.38,18,0,7.11
134,Wawina,HN,2021-04-07 23:59:49,15.4167,-84.4333,76.24,89,92,4.07
135,Preobrazheniye,RU,2021-04-07 23:59:49,42.9019,133.9064,36.28,26,0,10.2
136,Nouadhibou,MR,2021-04-07 23:59:49,20.931,-17.0347,64.4,82,6,12.66
137,Tongchuan,CN,2021-04-07 23:59:50,35.0806,109.0897,52.5,63,29,3.83
138,Serowe,BW,2021-04-07 23:59:50,-22.3833,26.7167,59.27,60,84,5.61
139,Tuatapere,NZ,2021-04-07 23:59:50,-46.1333,167.6833,61.0,73,23,5.01
140,Leh,IN,2021-04-07 23:59:51,34.1667,77.5833,24.48,67,85,0.54
141,Chokurdakh,RU,2021-04-07 23:58:51,70.6333,147.9167,-1.3,85,100,2.64
142,Kiomboi,TZ,2021-04-07 23:59:51,-4.2667,34.3667,58.05,85,46,4.29
143,Peleduy,RU,2021-04-07 23:59:51,59.6289,112.7406,35.31,99,100,5.23
144,Alcaniz,ES,2021-04-07 23:59:52,41.05,-0.1333,45.0,94,22,3.0
145,Zabol,AF,2021-04-07 23:59:52,32.25,67.25,51.08,25,4,7.47
146,Saint-Michel-Des-Saints,CA,2021-04-07 23:59:52,46.6834,-73.9159,52.0,77,92,4.43
147,Mandera,KE,2021-04-07 23:59:53,3.9366,41.867,82.81,55,1,13.89
148,Hasaki,JP,2021-04-07 23:59:53,35.7333,140.8333,53.6,87,75,4.61
149,Atambua,ID,2021-04-07 23:59:53,-9.1061,124.8925,77.68,78,39,1.68
150,Ponta Do Sol,PT,2021-04-07 23:59:54,32.6667,-17.1,61.0,76,98,3.0
151,Khatanga,RU,2021-04-07 23:59:54,71.9667,102.5,-13.49,99,99,2.01
152,Longyearbyen,SJ,2021-04-07 23:59:54,78.2186,15.6401,23.0,80,75,14.97
153,Qaanaaq,GL,2021-04-07 23:59:54,77.484,-69.3632,-0.26,67,87,7.25
154,Hengyang,CN,2021-04-07 23:59:55,26.8881,112.615,55.4,88,97,5.06
155,Derzhavinsk,KZ,2021-04-07 23:59:55,51.1,66.3167,40.42,80,88,13.04
156,Mount Isa,AU,2021-04-07 23:59:55,-20.7333,139.5,86.0,32,49,9.22
157,La Tuque,CA,2021-04-07 23:59:56,47.4334,-72.7824,66.2,37,58,1.14
158,Havoysund,NO,2021-04-07 23:59:56,70.9963,24.6622,28.4,100,75,8.05
159,Saint-Augustin,CA,2021-04-07 23:59:56,51.226,-58.6502,36.68,90,87,8.86
160,Bethel,US,2021-04-07 23:59:56,41.3712,-73.414,66.2,34,1,10.36
161,Asmara,ER,2021-04-07 23:59:57,15.3333,38.9333,63.09,27,18,1.92
162,Rabo De Peixe,PT,2021-04-07 23:59:57,37.8,-25.5833,60.8,82,75,19.57
163,Olafsvik,IS,2021-04-07 23:59:57,64.8945,-23.7142,27.19,79,100,45.34
164,Thompson,CA,2021-04-07 23:59:12,55.7435,-97.8558,48.2,43,20,8.05
165,Yuryuzan,RU,2021-04-07 23:59:58,54.8633,58.4219,33.48,99,93,3.18
166,Tezu,IN,2021-04-07 23:59:58,27.9167,96.1667,73.31,35,62,3.22
167,Esperance,AU,2021-04-07 23:59:58,-33.8667,121.9,60.8,100,75,3.44
168,Morehead,US,2021-04-07 23:59:59,37.2711,-87.1764,73.4,60,40,6.91
169,Uglich,RU,2021-04-07 23:59:59,57.5275,38.3317,34.43,97,100,8.08
170,Arraial Do Cabo,BR,2021-04-07 23:59:59,-22.9661,-42.0278,69.8,94,20,16.28
171,Palana,RU,2021-04-08 00:00:00,59.1167,159.9667,18.0,83,32,10.02
172,Katsuura,JP,2021-04-08 00:00:00,35.1333,140.3,57.0,66,75,5.75
173,Fort Nelson,CA,2021-04-08 00:00:00,58.8053,-122.7002,15.8,86,90,10.36
174,Birjand,IR,2021-04-08 00:00:01,32.8663,59.2211,46.4,23,0,9.22
175,Sao Joao Da Barra,BR,2021-04-07 23:59:56,-21.6403,-41.0511,71.87,79,24,6.82
176,Sribne,UA,2021-04-08 00:00:04,50.6638,32.9187,34.03,83,98,11.39
177,Chuy,UY,2021-04-08 00:00:06,-33.6971,-53.4616,70.39,82,12,14.88
178,Darhan,MN,2021-04-08 00:00:09,49.4867,105.9228,45.57,37,100,5.06
179,Kyra,RU,2021-04-07 23:58:16,49.5776,111.9753,39.33,48,13,2.55
180,Flinders,AU,2021-04-08 00:00:12,-34.5833,150.8552,75.99,77,37,1.99
181,Barrow,US,2021-04-08 00:00:13,71.2906,-156.7887,-18.4,69,90,9.22
