City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Kargasok,RU,59.0556,80.8572,30.63,91,40,6.08,scattered clouds
320,Puquio,PE,-14.7,-74.1333,62.2,57,69,10.07,broken clouds
321,Njombe,TZ,-9.3333,34.7667,56.39,98,98,4.9,light rain
322,Namibe,AO,-15.1961,12.1522,80.04,77,18,7.02,few clouds
323,Flinders,AU,-34.5833,150.8552,61.0,63,0,5.01,clear sky
324,Mari-Turek,RU,56.7895,49.6235,34.03,99,100,6.26,snow
325,Mount Gambier,AU,-37.8333,140.7667,50.0,71,75,18.41,broken clouds
326,Uribia,CO,11.7139,-72.266,88.5,48,97,20.27,overcast clouds
327,Axim,GH,4.8699,-2.2405,83.8,74,99,11.9,overcast clouds
328,Maraa,BR,-1.8333,-65.3667,89.13,57,95,2.48,overcast clouds
329,Kodinsk,RU,58.6881,99.1844,14.09,93,8,0.69,clear sky
330,Manavalakurichi,IN,8.1333,77.3,84.2,74,20,2.3,mist
331,Valparaiso,CL,-33.0393,-71.6273,68.0,45,0,10.36,clear sky
332,Hasaki,JP,35.7333,140.8333,39.2,87,40,3.44,scattered clouds
333,Half Moon Bay,US,37.4636,-122.4286,57.0,71,1,5.75,haze
334,Poso,ID,-1.3959,120.7524,78.01,83,100,2.42,overcast clouds
335,Yasnyy,RU,51.0333,59.8742,30.36,96,60,12.53,broken clouds
336,Ugoofaaru,MV,5.6667,73.0,83.7,66,79,1.7,broken clouds
337,Kribi,CM,2.95,9.9167,82.24,78,94,7.36,overcast clouds
338,Colares,PT,38.7992,-9.4469,63.0,82,75,12.66,broken clouds
339,Ponnani,IN,10.767,75.9252,84.2,74,40,1.14,haze
340,Illapel,CL,-31.6308,-71.1653,71.01,30,16,5.79,few clouds
341,Tripoli,LY,32.8752,13.1875,66.79,55,100,23.94,overcast clouds
342,Roebourne,AU,-20.7833,117.1333,83.39,74,100,13.76,overcast clouds
343,Cozumel,MX,20.5083,-86.9458,86.0,70,40,17.27,scattered clouds
344,Katima Mulilo,NA,-17.5,24.2667,70.63,39,1,6.44,clear sky
345,Aracaju,BR,-10.9111,-37.0717,86.0,66,40,13.8,scattered clouds
346,Belle Fourche,US,44.6714,-103.8522,55.99,24,1,5.75,clear sky
347,Saint-Georges,GD,12.0564,-61.7485,81.73,70,100,10.96,overcast clouds
348,Onega,RU,63.9061,38.1404,37.71,85,100,11.56,light rain
349,Roma,US,43.2128,-75.4557,72.0,52,1,10.36,clear sky
350,Xiaoweizhai,CN,26.1903,107.5125,51.8,99,100,2.17,overcast clouds
351,Yining,CN,29.0361,114.5636,56.43,97,100,1.97,overcast clouds
352,Beisfjord,NO,68.3751,17.5988,33.8,80,75,13.8,broken clouds
353,Avaton,GR,40.9667,24.8,53.6,62,20,3.44,few clouds
354,Nanortalik,GL,60.1432,-45.2371,37.35,90,100,6.85,overcast clouds
355,Lasa,IT,46.6166,10.7002,54.0,87,75,8.05,broken clouds
356,Guanica,PR,17.9716,-66.908,84.0,51,69,4.0,broken clouds
357,Asheboro,US,35.7079,-79.8136,73.99,56,90,16.11,overcast clouds
358,Camana,PE,-16.6228,-72.7111,72.19,74,96,9.62,overcast clouds
359,Lichinga,MZ,-13.3128,35.2406,66.2,82,75,5.75,broken clouds
360,Lagoa,PT,39.05,-27.9833,59.67,93,100,23.89,overcast clouds
361,Verkhnyaya Inta,RU,65.9811,60.3094,36.55,64,45,17.96,scattered clouds
362,Asau,RO,46.4333,26.4,53.6,35,0,10.36,clear sky
363,Wamba,NG,8.9333,8.6,97.86,25,95,6.87,overcast clouds
364,Wisconsin Rapids,US,44.3836,-89.8174,50.0,76,90,10.36,overcast clouds
365,Calais,FR,50.9167,1.8333,43.0,95,100,5.99,overcast clouds
366,Esna,EG,25.2934,32.554,75.2,16,0,9.22,clear sky
367,Troitsko-Pechorsk,RU,62.7084,56.1964,32.34,95,5,6.89,clear sky
368,Khasan,RU,42.4308,130.6434,40.23,89,3,2.59,clear sky
369,Keti Bandar,PK,24.1447,67.4497,80.94,68,0,16.73,clear sky
370,Bonavista,CA,48.6499,-53.1147,33.01,100,100,8.05,overcast clouds
371,Alice Springs,AU,-23.7,133.8833,64.0,67,0,4.61,clear sky
372,Bima,ID,-8.4667,118.7167,75.42,91,6,4.27,clear sky
373,Sitka,US,57.0531,-135.33,32.0,93,90,3.44,snow
374,Crotone,IT,39.0851,17.1178,55.4,62,0,17.27,clear sky
375,Hattiesburg,US,31.3271,-89.2903,66.2,82,75,5.75,broken clouds
376,Orlik,RU,52.5178,99.825,20.32,85,96,6.08,overcast clouds
377,Vung Tau,VN,10.346,107.0843,81.23,80,75,22.3,broken clouds
378,Houma,US,29.5958,-90.7195,64.4,94,90,10.36,heavy intensity rain
379,Lagos,NG,6.5833,3.75,85.75,67,54,9.62,broken clouds
380,Kloulklubed,PW,7.0419,134.2556,78.8,89,75,10.27,broken clouds
381,Port Blair,IN,11.6667,92.75,82.26,74,29,4.88,scattered clouds
382,Kununurra,AU,-15.7667,128.7333,73.4,94,70,3.44,broken clouds
383,Kiama,AU,-34.6833,150.8667,61.0,62,0,7.0,clear sky
384,Taoudenni,ML,22.6783,-3.9836,98.96,8,3,11.61,clear sky
385,Aksu,CN,41.1231,80.2644,59.56,25,5,5.55,clear sky
386,Martapura,ID,-3.4167,114.85,77.0,94,90,4.61,overcast clouds
387,Emba,KZ,48.8264,58.1442,49.28,62,8,13.31,clear sky
388,Erenhot,CN,43.6475,111.9767,51.55,54,87,3.78,overcast clouds
389,Inirida,CO,3.8653,-67.9239,72.09,98,100,4.54,overcast clouds
390,Sant Feliu De Guixols,ES,41.7833,3.0333,55.4,88,90,4.61,overcast clouds
391,Palmas,BR,-10.2128,-48.3603,86.0,54,40,11.5,light rain
392,Dulyapino,RU,57.2578,40.8147,46.4,34,0,6.71,clear sky
393,Alofi,NU,-19.0595,-169.9187,73.4,94,29,1.14,scattered clouds
394,Bilma,NE,18.6853,12.9164,95.58,4,45,10.38,scattered clouds
395,Klamath Falls,US,42.2249,-121.7817,43.0,49,1,17.27,clear sky
396,Hofn,IS,64.2539,-15.2082,33.44,40,0,5.39,clear sky
397,Chapais,CA,49.7834,-74.8492,55.4,62,90,5.75,overcast clouds
398,Port Lincoln,AU,-34.7333,135.8667,58.26,63,94,16.55,overcast clouds
399,Mega,ET,4.05,38.3,64.26,70,76,12.17,broken clouds
400,Raahe,FI,64.6833,24.4833,35.6,60,0,8.05,clear sky
401,Ola,RU,59.5833,151.2833,6.37,77,41,10.8,scattered clouds
402,Kitui,KE,-1.367,38.0106,71.19,69,98,10.09,light rain
403,Perez,AR,-32.9983,-60.7679,69.01,100,90,4.61,light rain
404,Cheremukhovo,RU,60.3484,59.9851,34.16,98,100,2.55,overcast clouds
405,Clyde River,CA,70.4692,-68.5914,32.0,69,1,12.66,clear sky
406,Camopi,GF,3.1655,-52.3158,79.75,90,92,4.09,overcast clouds
407,Narsaq,GL,60.9167,-46.05,44.6,57,40,5.75,scattered clouds
408,Bruck An Der Leitha,AT,48.0167,16.7667,66.2,34,0,17.27,clear sky
409,Ilebo,CD,-4.3167,20.5833,74.53,89,98,1.63,moderate rain
410,Zhigalovo,RU,54.8097,105.1578,20.08,83,67,3.56,broken clouds
411,Hami,CN,42.8,93.45,57.43,34,42,8.68,scattered clouds
412,Kahului,US,20.8947,-156.47,64.4,88,20,3.44,few clouds
